name, Buy&hold(train) , Buy&hold(test) , train , test ,gird(train),gird(test)
유한양행,"10,422,169","12,831,628","10,390,051","9,703,478"," 10,405,779 "," 8,582,323 "
씨젠,"12,374,727","7,261,108","11,125,357","6,537,887"," 14,010,925 "," 6,939,500 "
오스템임플란트,"6,726,652","34,732,246","9,957,265"," 9,935,486 "," 10,143,697 "," 8,423,688 "
차바이오텍,"10,946,102","13,107,960","14,606,369","8,678,580"," 19,128,236 "," 10,000,000 "
헬릭스미스,"8,476,418","6,371,358","13,644,962","9,143,190",,
메지온,"57,185,321","7,584,720","19,231,005","9,049,369",,
에이치엘비생명과학,"33,117,448","11,406,220","16,503,171","7,501,780"," 16,407,549 "," 10,000,000 "
대웅,"6,949,341","16,379,746","10,404,516"," 13,134,097 ",,
녹십자홀딩스,"5,184,877","14,123,555","9,730,640"," 17,152,879 ",,
동국제약,"13,365,572","10,163,136","10,909,385"," 11,241,903 ",,
CMG제약,"11,098,482","13,890,728","11,473,166"," 7,713,292 "," 14,721,501 "," 10,000,000 "
영진약품,"4,186,424","11,096,458","8,276,580"," 13,049,886 ",,
메디포스트,"8,576,421","12,339,562","10,267,256"," 8,910,296 "," 10,579,121 "," 8,935,955 "
코미팜,"5,729,596","7,004,659","10,348,749"," 3,781,506 "," 11,233,818 "," 3,770,039 "
엔케이맥스,"5,486,774","10,577,866","10,195,003"," 8,187,486 "," 10,202,701 "," 6,695,101 "
바디텍메드,"6,447,610","11,723,850","10,206,711"," 8,329,443 "," 13,899,791 "," 10,000,000 "
JW중외제약,"5,745,324","8,998,978","11,311,120"," 9,301,659 ",,
클래시스,"56,101,404","12,126,908","20,549,338"," 9,935,142 "," 23,096,015 "," 10,251,560 "
종근당홀딩스,"12,842,847","8,481,543","11,374,472"," 9,427,541 ",,
서흥,"10,187,433","10,040,984","10,600,934"," 9,763,302 "," 10,616,745 "," 7,888,175 "
카이노스메드,"14,028,896","7,149,985","10,650,151"," 5,997,387 "," 11,817,510 "," 6,271,744 "
앱클론,"14,020,928","6,135,963","19,140,705"," 9,504,394 ",,
아이센스,"8,010,222","10,988,118","10,417,658"," 9,637,890 "," 10,534,508 "," 9,935,092 "
에이프로젠제약,"4,732,580","7,103,655","16,467,866"," 8,806,202 ",,
바텍,"9,113,270","18,624,722","10,321,114"," 9,357,370 "," 10,489,436 "," 8,830,140 "
삼진제약,"6,966,075","9,970,078","9,504,866"," 9,392,502 "," 9,784,361 "," 9,517,282 "
동화약품,"7,924,551","8,780,213","11,907,233"," 7,347,362 "," 11,939,819 "," 6,074,225 "
수젠텍,"15,357,931","6,274,696","20,372,101"," 11,789,124 ",,
제일약품,"6,211,596","9,694,717","12,072,111"," 7,104,661 "," 15,885,477 "," 5,770,941 "
뷰웍스,"5,221,149","10,748,933","10,109,000"," 9,987,054 "," 11,310,222 "," 10,000,000 "
테라젠이텍스,"12,838,428","8,422,128","11,259,407"," 10,594,772 ",,
한독,"9,027,468","8,789,201","10,141,025"," 9,679,855 ",,
케어젠,"10,867,539","11,181,471","7,719,629"," 9,007,224 "," 10,554,432 "," 9,320,366 "
대원제약,"7,715,997","9,825,722","9,472,072"," 12,755,971 ",,
유비케어,"14,053,340","7,571,778","10,411,767"," 8,849,946 ",,
일동제약,"7,200,570","11,122,810","11,445,129"," 8,741,797 "," 11,458,692 "," 8,708,490 "
동성제약,"29,252,837","9,316,007","10,602,248"," 10,000,000 ",,
지노믹트리,"44,476,580","8,002,614","13,313,555"," 8,019,658 ",,
제일파마홀딩스,"3,017,416","12,033,943","11,899,795"," 7,533,652 "," 13,803,945 "," 6,786,836 "
휴마시스,"6,247,772","9,891,693","12,376,965"," 10,627,958 ",,
환인제약,"7,361,549","15,598,856","10,030,521"," 9,816,800 "," 10,526,008 "," 10,851,398 "
진원생명과학,"6,341,972","26,274,632","21,352,439"," 7,359,876 ",,
종근당바이오,"14,224,630","13,723,886","11,539,463"," 7,087,128 "," 12,279,152 "," 3,539,177 "
종근당,"8,011,813","10,954,970","10,164,738"," 11,514,089 ",,
제넥신,"14,568,794","8,394,041","13,574,315"," 7,601,931 ",,
일양약품,"5,192,141","5,537,375","9,955,997"," 8,547,047 ",,
이연제약,"6,062,115","28,614,196","10,036,869"," 8,951,398 "," 10,874,811 "," 11,725,638 "
유나이티드제약,"8,523,208","18,159,866","11,371,407"," 7,101,887 "," 12,054,236 "," 4,303,166 "
오리엔트바이오,"1,903,172","27,583,877","4,537,446"," 21,317,736 ",,
셀트리온제약,"21,208,724","11,268,738","15,639,847"," 8,400,754 ",,
삼천당제약,"28,503,243","14,619,119","16,104,846"," 6,393,197 ",,
삼성제약,"9,832,349","22,796,792","9,269,129"," 23,646,243 ",,
삼성바이오로직스,"19,710,870","11,254,186","12,372,017"," 8,925,309 ",,
부광약품,"9,350,545","6,392,864","9,393,106"," 8,533,050 ",,
명문제약,"7,077,435","10,356,493","12,433,743"," 10,000,000 ",,
대웅제약,"10,132,533","14,092,717","11,666,956","10,873,078",,
국제약품,"14,122,732","9,495,539","6,936,442"," 9,946,022 ",,
광동제약,"6,581,131","11,504,250","9,672,878"," 9,636,552 ",,
고려제약,"10,827,521","9,757,921","11,576,472"," 10,000,000 ",,
경보제약,"5,662,149","13,817,607","9,795,607"," 9,843,166 ",,
메디톡스,"4,817,129","10,332,665","10,415,286","7,781,321",,
아미코젠,"11,038,158","11,388,906","9,564,292"," 10,675,926 ",,
인트론바이오,"8,866,727","14,928,978","8,018,396"," 12,563,419 ",,
알테오젠,"61,507,232","7,653,648","11,341,745"," 5,765,213 ",,
한미사이언스,"4,406,858","19,841,315","11,718,622"," 11,313,786 ",,
바이오니아,"13,334,467","13,818,625","9,933,526"," 8,496,292 ",,
레고켐바이오,"14,494,293","10,624,734","10,050,951"," 10,734,077 ",,
셀트리온,"19,395,638","8,404,824","10,531,773"," 10,109,990 ",,
셀트리온헬스케어,"14,534,707","11,241,845","11,672,056"," 9,446,209 ",,
안트로젠,"15,551,262","11,430,553","20,648,855"," 7,801,713 ",,
유바이오로직스,"13,864,397","49,572,522","8,840,389"," 9,115,932 ",,
보령제약,"11,180,596","16,740,898","9,805,592"," 9,959,707 ",,
파마리서치,"11,131,311","16,584,664","10,574,268"," 10,163,709 ",,
엔지켐생명과학,"20,765,062","9,203,630","12,970,264"," 6,621,065 ",,
KPX생명과학,"12,926,193","14,931,349","8,489,157"," 16,562,202 ",,
에스티팜,"7,314,810","21,801,894","11,112,420"," 10,042,854 ",,
휴온스,"12,147,395","11,483,050","11,452,612"," 10,744,700 ",,
한미약품,"7,690,279","13,620,398","10,794,230"," 7,941,488 ",,
한올바이오파마,"17,680,294","8,008,137","14,864,539"," 12,044,451 ",,
지트리비앤티,"14,448,485","4,305,945","9,693,037"," 9,817,390 ",,
녹십자랩셀,"11,708,005","18,232,218","9,609,404"," 8,053,798 ",,
올릭스,"5,338,638","18,453,066","15,260,200"," 11,271,703 ",,
크리스탈지노믹스,"10,251,393","9,531,414","10,326,485"," 4,095,811 ",,
휴젤,"7,420,686","13,010,062","10,471,791"," 10,122,318 ",,
셀리버리,"29,405,528","19,192,113","18,027,175"," 8,587,411 ",,
이수앱지스,"8,750,254","23,347,162","12,623,170"," 14,121,057 ",,
바이넥스,"6,469,750","14,044,892","8,656,688"," 9,499,018 ",,
휴메딕스,"6,546,717","13,089,166","9,941,702"," 9,218,383 ",,
휴온스글로벌,"8,228,921","20,182,131","11,045,548"," 9,649,218 ",,
,,"13,000,791",,"9,696,948",,
